,time_crime_hour,location_description,cnt,__fileposition__
45,1,"COLLEGE/UNIVERSITY RESIDENCE HALL",53,1748
46,1,"COMMERCIAL / BUSINESS OFFICE",569,1801
47,1,"CONSTRUCTION SITE",198,1849
48,1,"CONVENIENCE STORE",476,1886
49,1,"CREDIT UNION",5,1923
50,1,"CTA BUS",225,1955
51,1,"CTA BUS STOP",130,1982
52,1,"CTA GARAGE / OTHER PROPERTY",157,2014
53,1,"CTA PLATFORM",649,2061
54,1,"CTA STATION",64,2093
55,1,"CTA TRACKS - RIGHT OF WAY",5,2124
56,1,"CTA TRAIN",725,2169
57,1,"CURRENCY EXCHANGE",101,2198
58,1,"DAY CARE CENTER",25,2235
59,1,"DELIVERY TRUCK",14,2270
60,1,"DEPARTMENT STORE",189,2304
61,1,"DRIVEWAY",1,2340
62,1,"DRIVEWAY - RESIDENTIAL",777,2368
63,1,"DRUG STORE",367,2410
64,1,"FACTORY/MANUFACTURING BUILDING",196,2440
65,1,"FEDERAL BUILDING",8,2490
66,1,"FIRE STATION",24,2526
67,1,"FOREST PRESERVE",5,2558
68,1,"GANGWAY",7,2593
69,1,"GARAGE",1,2620
70,1,"GAS STATION",2790,2646
71,1,"GAS STATION DRIVE/PROP.",3,2677
72,1,"GOVERNMENT BUILDING/PROPERTY",162,2720
73,1,"GROCERY FOOD STORE",1183,2768
74,1,"HALLWAY",5,2806
75,1,"HIGHWAY/EXPRESSWAY",45,2833
76,1,"HOSPITAL BUILDING/GROUNDS",469,2871
77,1,"HOTEL/MOTEL",1161,2916
78,1,"HOUSE",14,2947
79,1,"JAIL / LOCK-UP FACILITY",38,2972
80,1,"LAKEFRONT/WATERFRONT/RIVERBANK",25,3015
81,1,"LIBRARY",13,3065
82,1,"LIQUOR STORE",1,3092
83,1,"MEDICAL/DENTAL OFFICE",73,3124
84,1,"MOVIE HOUSE/THEATER",75,3165
85,1,"NEWSSTAND",4,3204
86,1,"NURSING HOME/RETIREMENT HOME",164,3233
87,1,"OTHER",5232,3281
88,1,"OTHER COMMERCIAL TRANSPORTATION",61,3306
89,1,"OTHER RAILROAD PROP / TRAIN DEPOT",177,3357
90,1,"PARK PROPERTY",709,3410
91,1,"PARKING LOT",12,3443
92,1,"PARKING LOT/GARAGE(NON.RESID.)",4087,3474
93,1,"PAWN SHOP",6,3524
94,1,"POLICE FACILITY/VEH PARKING LOT",543,3553
95,1,"POOL ROOM",28,3604
96,1,"PORCH",16,3633
97,1,"RESIDENCE",31321,3658
98,1,"RESIDENCE PORCH/HALLWAY",3501,3687
99,1,"RESIDENCE-GARAGE",3704,3730
100,1,"RESIDENTIAL YARD (FRONT/BACK)",1858,3766
101,1,"RESTAURANT",3248,3815
102,1,"RETAIL STORE",1,3845
103,1,"RIVER",1,3877
104,1,"SAVINGS AND LOAN",2,3902
105,1,"SCHOOL, PRIVATE, BUILDING",105,3938
106,1,"SCHOOL, PRIVATE, GROUNDS",36,3983
107,1,"SCHOOL, PUBLIC, BUILDING",319,4027
108,1,"SCHOOL, PUBLIC, GROUNDS",120,4071
109,1,"SIDEWALK",20983,4114
110,1,"SMALL RETAIL STORE",1413,4142
111,1,"SPORTS ARENA/STADIUM",68,4180
112,1,"STAIRWELL",2,4220
113,1,"STREET",65911,4249
114,1,"TAVERN",5,4275
115,1,"TAVERN/LIQUOR STORE",1811,4301
116,1,"TAXI CAB",1,4340
117,1,"TAXICAB",584,4368
118,1,"VACANT LOT",6,4395
119,1,"VACANT LOT/LAND",530,4425
120,1,"VEHICLE - DELIVERY TRUCK",1,4460
121,1,"VEHICLE - OTHER RIDE SERVICE",17,4504
122,1,"VEHICLE NON-COMMERCIAL",4716,4552
123,1,"VEHICLE-COMMERCIAL",185,4594
124,1,"WAREHOUSE",203,4632
125,1,"YARD",13,4661
126,2,"",32,4685
127,2,"ABANDONED BUILDING",151,4705
128,2,"AIRCRAFT",5,4743
129,2,"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",11,4771
130,2,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",3,4838
131,2,"AIRPORT EXTERIOR - NON-SECURE AREA",8,4901
132,2,"AIRPORT EXTERIOR - SECURE AREA",6,4955
133,2,"AIRPORT PARKING LOT",4,5005
134,2,"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",18,5044
135,2,"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",3,5110
136,2,"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",9,5172
137,2,"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA",8,5238
138,2,"AIRPORT TRANSPORTATION SYSTEM (ATS)",3,5300
139,2,"AIRPORT VENDING ESTABLISHMENT",13,5355
140,2,"AIRPORT/AIRCRAFT",112,5404
141,2,"ALLEY",4036,5440
142,2,"ANIMAL HOSPITAL",11,5465
143,2,"APARTMENT",21669,5500
144,2,"APPLIANCE STORE",33,5529
145,2,"ATHLETIC CLUB",48,5564
146,2,"ATM (AUTOMATIC TELLER MACHINE)",256,5597
147,2,"AUTO",81,5647
148,2,"BANK",120,5671
149,2,"BAR OR TAVERN",5317,5695
150,2,"BARBER SHOP/BEAUTY SALON",1,5728
151,2,"BARBERSHOP",163,5772
152,2,"BOAT/WATERCRAFT",25,5802
153,2,"BOWLING ALLEY",30,5837
154,2,"BRIDGE",14,5870
155,2,"CAR WASH",52,5896
156,2,"CEMETARY",2,5924
157,2,"CHA APARTMENT",1283,5952
158,2,"CHA GROUNDS",1,5985
159,2,"CHA HALLWAY",3,6016
160,2,"CHA HALLWAY/STAIRWELL/ELEVATOR",493,6047
161,2,"CHA PARKING LOT",1,6097
162,2,"CHA PARKING LOT/GROUNDS",928,6132
163,2,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",191,6175
164,2,"CLEANING STORE",113,6228
165,2,"COIN OPERATED MACHINE",20,6262
166,2,"COLLEGE/UNIVERSITY GROUNDS",52,6303
167,2,"COLLEGE/UNIVERSITY RESIDENCE HALL",71,6349
168,2,"COMMERCIAL / BUSINESS OFFICE",517,6402
169,2,"CONSTRUCTION SITE",189,6450
170,2,"CONVENIENCE STORE",414,6487
171,2,"CREDIT UNION",5,6524
172,2,"CTA BUS",154,6556
173,2,"CTA BUS STOP",119,6583
174,2,"CTA GARAGE / OTHER PROPERTY",167,6615
175,2,"CTA PLATFORM",560,6662
176,2,"CTA STATION",46,6694
177,2,"CTA TRACKS - RIGHT OF WAY",3,6725
178,2,"CTA TRAIN",808,6770
179,2,"CURRENCY EXCHANGE",91,6799
180,2,"DAY CARE CENTER",25,6836
181,2,"DELIVERY TRUCK",23,6871
182,2,"DEPARTMENT STORE",167,6905
183,2,"DRIVEWAY",1,6941
184,2,"DRIVEWAY - RESIDENTIAL",690,6969
185,2,"DRUG STORE",289,7011
186,2,"EXPRESSWAY EMBANKMENT",1,7041
187,2,"FACTORY/MANUFACTURING BUILDING",146,7082
188,2,"FEDERAL BUILDING",7,7132
189,2,"FIRE STATION",28,7168
190,2,"FOREST PRESERVE",5,7200
191,2,"GANGWAY",4,7235
192,2,"GARAGE",4,7262
193,2,"GAS STATION",2446,7288
194,2,"GOVERNMENT BUILDING/PROPERTY",138,7319
195,2,"GROCERY FOOD STORE",952,7367
196,2,"HALLWAY",3,7405
197,2,"HIGHWAY/EXPRESSWAY",51,7432
198,2,"HOSPITAL BUILDING/GROUNDS",419,7470
199,2,"HOTEL",1,7515
200,2,"HOTEL/MOTEL",1079,7540
201,2,"HOUSE",17,7571
202,2,"JAIL / LOCK-UP FACILITY",44,7596
203,2,"LAKEFRONT/WATERFRONT/RIVERBANK",20,7639
204,2,"LIBRARY",17,7689
205,2,"LIQUOR STORE",1,7716
206,2,"MEDICAL/DENTAL OFFICE",69,7748
207,2,"MOVIE HOUSE/THEATER",53,7789
208,2,"NEWSSTAND",6,7828
209,2,"NURSING HOME/RETIREMENT HOME",156,7857
210,2,"OTHER",4329,7905
211,2,"OTHER COMMERCIAL TRANSPORTATION",55,7930
212,2,"OTHER RAILROAD PROP / TRAIN DEPOT",155,7981
213,2,"PARK PROPERTY",526,8034
214,2,"PARKING LOT",7,8067
215,2,"PARKING LOT/GARAGE(NON.RESID.)",3522,8098
216,2,"PAWN SHOP",4,8148
217,2,"POLICE FACILITY/VEH PARKING LOT",524,8177
218,2,"POOL ROOM",21,8228
219,2,"POOLROOM",1,8257
220,2,"PORCH",16,8285
221,2,"RESIDENCE",26345,8310
222,2,"RESIDENCE PORCH/HALLWAY",2806,8339
223,2,"RESIDENCE-GARAGE",2671,8382
224,2,"RESIDENTIAL YARD (FRONT/BACK)",1485,8418
225,2,"RESTAURANT",2996,8467
226,2,"RETAIL STORE",1,8497
227,2,"ROOMING HOUSE",1,8529
228,2,"SAVINGS AND LOAN",9,8562
229,2,"SCHOOL, PRIVATE, BUILDING",102,8598
230,2,"SCHOOL, PRIVATE, GROUNDS",25,8643
231,2,"SCHOOL, PUBLIC, BUILDING",229,8687
232,2,"SCHOOL, PUBLIC, GROUNDS",94,8731
233,2,"SIDEWALK",17236,8774
234,2,"SMALL RETAIL STORE",1429,8802
235,2,"SPORTS ARENA/STADIUM",62,8840
236,2,"STAIRWELL",1,8880
237,2,"STREET",54293,8909
238,2,"TAVERN",7,8935
239,2,"TAVERN/LIQUOR STORE",1470,8961
240,2,"TAXI CAB",1,9000
241,2,"TAXICAB",636,9028
242,2,"TRAILER",1,9055
243,2,"TRUCK",1,9082
244,2,"VACANT LOT",4,9107
245,2,"VACANT LOT/LAND",360,9137
246,2,"VEHICLE - DELIVERY TRUCK",2,9172
247,2,"VEHICLE - OTHER RIDE SERVICE",17,9216
248,2,"VEHICLE NON-COMMERCIAL",4129,9264
249,2,"VEHICLE-COMMERCIAL",160,9306
250,2,"VESTIBULE",2,9344
251,2,"WAREHOUSE",156,9373
252,2,"YARD",9,9402
253,3,"",21,9426
254,3,"ABANDONED BUILDING",108,9446
255,3,"AIRCRAFT",8,9484
256,3,"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",18,9512
257,3,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",7,9579
258,3,"AIRPORT EXTERIOR - NON-SECURE AREA",3,9642
259,3,"AIRPORT EXTERIOR - SECURE AREA",3,9696
260,3,"AIRPORT PARKING LOT",14,9746
261,3,"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",10,9785
262,3,"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",2,9851
263,3,"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA",1,9913
264,3,"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",6,9977
265,3,"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA",15,10043
266,3,"AIRPORT VENDING ESTABLISHMENT",10,10105
267,3,"AIRPORT/AIRCRAFT",107,10154
268,3,"ALLEY",3238,10190
269,3,"ANIMAL HOSPITAL",15,10215
270,3,"APARTMENT",18179,10250
271,3,"APPLIANCE STORE",36,10279
272,3,"ATHLETIC CLUB",33,10314
273,3,"ATM (AUTOMATIC TELLER MACHINE)",249,10347
274,3,"AUTO",63,10397
275,3,"BANK",131,10421
276,3,"BAR OR TAVERN",3763,10445
277,3,"BARBERSHOP",132,10478
278,3,"BASEMENT",3,10508
279,3,"BOAT/WATERCRAFT",15,10536
280,3,"BOWLING ALLEY",15,10571
281,3,"BRIDGE",8,10604
282,3,"CAR WASH",35,10630
283,3,"CEMETARY",4,10658
284,3,"CHA APARTMENT",1106,10686
285,3,"CHA BREEZEWAY",3,10719
286,3,"CHA GROUNDS",2,10752
287,3,"CHA HALLWAY",5,10783
288,3,"CHA HALLWAY/STAIRWELL/ELEVATOR",417,10814
289,3,"CHA LOBBY",1,10864
290,3,"CHA PARKING LOT",4,10893
291,3,"CHA PARKING LOT/GROUNDS",727,10928
292,3,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",126,10971
293,3,"CLEANING STORE",117,11024
294,3,"CLUB",5,11058
295,3,"COIN OPERATED MACHINE",11,11082
296,3,"COLLEGE/UNIVERSITY GROUNDS",49,11123
297,3,"COLLEGE/UNIVERSITY RESIDENCE HALL",37,11169
298,3,"COMMERCIAL / BUSINESS OFFICE",502,11222
299,3,"CONSTRUCTION SITE",170,11270
300,3,"CONVENIENCE STORE",343,11307
301,3,"CREDIT UNION",2,11344
302,3,"CTA ""L"" PLATFORM",1,11376
303,3,"CTA BUS",109,11412
304,3,"CTA BUS STOP",77,11439
305,3,"CTA GARAGE / OTHER PROPERTY",158,11471
306,3,"CTA PLATFORM",485,11518
307,3,"CTA PROPERTY",1,11550
308,3,"CTA STATION",36,11582
309,3,"CTA TRACKS - RIGHT OF WAY",4,11613
310,3,"CTA TRAIN",833,11658
311,3,"CURRENCY EXCHANGE",87,11687
312,3,"DAY CARE CENTER",12,11724
313,3,"DELIVERY TRUCK",13,11759
314,3,"DEPARTMENT STORE",145,11793
315,3,"DRIVEWAY",1,11829
316,3,"DRIVEWAY - RESIDENTIAL",576,11857
317,3,"DRUG STORE",235,11899
318,3,"FACTORY/MANUFACTURING BUILDING",105,11929
319,3,"FEDERAL BUILDING",10,11979
320,3,"FIRE STATION",13,12015
321,3,"FOREST PRESERVE",6,12047
322,3,"GANGWAY",6,12082
323,3,"GAS STATION",2013,12109
324,3,"GAS STATION DRIVE/PROP.",5,12140
325,3,"GOVERNMENT BUILDING/PROPERTY",123,12183
326,3,"GROCERY FOOD STORE",825,12231
327,3,"HALLWAY",2,12269
328,3,"HIGHWAY/EXPRESSWAY",35,12296
329,3,"HOSPITAL BUILDING/GROUNDS",423,12334
330,3,"HOTEL",1,12379
331,3,"HOTEL/MOTEL",1043,12404
332,3,"HOUSE",14,12435
333,3,"JAIL / LOCK-UP FACILITY",33,12460
334,3,"LAKEFRONT/WATERFRONT/RIVERBANK",7,12503
335,3,"LIBRARY",12,12553
336,3,"MEDICAL/DENTAL OFFICE",53,12580
337,3,"MOVIE HOUSE/THEATER",18,12621
338,3,"NEWSSTAND",6,12660
339,3,"NURSING HOME/RETIREMENT HOME",136,12689
340,3,"OFFICE",2,12737
341,3,"OTHER",3541,12763
342,3,"OTHER COMMERCIAL TRANSPORTATION",33,12788
343,3,"OTHER RAILROAD PROP / TRAIN DEPOT",121,12839
344,3,"PARK PROPERTY",325,12892
345,3,"PARKING LOT",4,12925
346,3,"PARKING LOT/GARAGE(NON.RESID.)",2954,12956
347,3,"PAWN SHOP",7,13006
348,3,"POLICE FACILITY/VEH PARKING LOT",447,13035
349,3,"POOL ROOM",16,13086
350,3,"PORCH",4,13115
351,3,"RAILROAD PROPERTY",1,13140
352,3,"RESIDENCE",21625,13177
353,3,"RESIDENCE PORCH/HALLWAY",2221,13206
354,3,"RESIDENCE-GARAGE",2283,13249
355,3,"RESIDENTIAL YARD (FRONT/BACK)",1100,13285
356,3,"RESTAURANT",2460,13334
357,3,"RETAIL STORE",1,13364
358,3,"SAVINGS AND LOAN",4,13396
359,3,"SCHOOL, PRIVATE, BUILDING",72,13432
360,3,"SCHOOL, PRIVATE, GROUNDS",11,13477
361,3,"SCHOOL, PUBLIC, BUILDING",178,13521
362,3,"SCHOOL, PUBLIC, GROUNDS",70,13565
363,3,"SIDEWALK",13000,13608
364,3,"SMALL RETAIL STORE",1380,13636
365,3,"SPORTS ARENA/STADIUM",62,13674
366,3,"STAIRWELL",2,13714
367,3,"STREET",42532,13743
368,3,"TAVERN",2,13769
369,3,"TAVERN/LIQUOR STORE",997,13795
370,3,"TAXICAB",548,13834
371,3,"TRAILER",1,13861
372,3,"VACANT LOT",2,13888
373,3,"VACANT LOT/LAND",363,13918
374,3,"VEHICLE - DELIVERY TRUCK",2,13953
375,3,"VEHICLE - OTHER RIDE SERVICE",14,13997
376,3,"VEHICLE NON-COMMERCIAL",3577,14045
377,3,"VEHICLE-COMMERCIAL",130,14087
378,3,"VESTIBULE",2,14125
379,3,"WAREHOUSE",147,14154
380,3,"YARD",7,14183
381,4,"",19,14207
382,4,"ABANDONED BUILDING",108,14227
383,4,"AIRCRAFT",5,14265
384,4,"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",9,14293
385,4,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",8,14360
386,4,"AIRPORT EXTERIOR - NON-SECURE AREA",10,14423
387,4,"AIRPORT EXTERIOR - SECURE AREA",2,14477
388,4,"AIRPORT PARKING LOT",12,14527
389,4,"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",13,14566
390,4,"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",5,14632
391,4,"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA",2,14694
392,4,"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",12,14758
393,4,"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA",115,14824
394,4,"AIRPORT VENDING ESTABLISHMENT",5,14886
395,4,"AIRPORT/AIRCRAFT",222,14935
396,4,"ALLEY",2270,14971
397,4,"ANIMAL HOSPITAL",7,14996
398,4,"APARTMENT",14625,15031
399,4,"APPLIANCE STORE",31,15060
400,4,"ATHLETIC CLUB",31,15095
401,4,"ATM (AUTOMATIC TELLER MACHINE)",191,15128
402,4,"AUTO",47,15178
403,4,"AUTO / BOAT / RV DEALERSHIP",1,15202
404,4,"BANK",102,15249
405,4,"BAR OR TAVERN",1386,15273
406,4,"BARBERSHOP",129,15306
407,4,"BOAT/WATERCRAFT",9,15336
408,4,"BOWLING ALLEY",8,15371
409,4,"BRIDGE",5,15404
410,4,"CAR WASH",32,15430
411,4,"CEMETARY",2,15458
412,4,"CHA APARTMENT",925,15486
413,4,"CHA GROUNDS",2,15519
414,4,"CHA HALLWAY/STAIRWELL/ELEVATOR",279,15550
415,4,"CHA LOBBY",1,15600
416,4,"CHA PARKING LOT",1,15629
417,4,"CHA PARKING LOT/GROUNDS",454,15664
418,4,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",140,15707
419,4,"CLEANING STORE",95,15760
420,4,"COACH HOUSE",1,15794
421,4,"COIN OPERATED MACHINE",16,15825
422,4,"COLLEGE/UNIVERSITY GROUNDS",28,15866
423,4,"COLLEGE/UNIVERSITY RESIDENCE HALL",22,15912
424,4,"COMMERCIAL / BUSINESS OFFICE",424,15965
425,4,"CONSTRUCTION SITE",165,16013
426,4,"CONVENIENCE STORE",311,16050
427,4,"CREDIT UNION",3,16087
428,4,"CTA BUS",132,16119
429,4,"CTA BUS STOP",88,16146
430,4,"CTA GARAGE / OTHER PROPERTY",157,16178
431,4,"CTA PLATFORM",424,16225
432,4,"CTA STATION",47,16257
433,4,"CTA TRACKS - RIGHT OF WAY",3,16288
434,4,"CTA TRAIN",648,16333
435,4,"CURRENCY EXCHANGE",66,16362
436,4,"DAY CARE CENTER",18,16399
437,4,"DELIVERY TRUCK",19,16434
438,4,"DEPARTMENT STORE",140,16468
439,4,"DRIVEWAY",1,16504
440,4,"DRIVEWAY - RESIDENTIAL",419,16532
441,4,"DRUG STORE",240,16574
442,4,"FACTORY/MANUFACTURING BUILDING",115,16604
443,4,"FEDERAL BUILDING",5,16654
444,4,"FIRE STATION",8,16690
445,4,"FOREST PRESERVE",1,16722
446,4,"GANGWAY",1,16757
447,4,"GAS STATION",1519,16784
448,4,"GAS STATION DRIVE/PROP.",1,16815
449,4,"GOVERNMENT BUILDING/PROPERTY",83,16858
450,4,"GROCERY FOOD STORE",711,16906
451,4,"HALLWAY",2,16944
452,4,"HIGHWAY/EXPRESSWAY",20,16971
453,4,"HOSPITAL BUILDING/GROUNDS",373,17009
454,4,"HOTEL",1,17054
455,4,"HOTEL/MOTEL",851,17079
456,4,"HOUSE",25,17110
457,4,"JAIL / LOCK-UP FACILITY",23,17135
458,4,"JUNK YARD/GARBAGE DUMP",1,17178
459,4,"LAKEFRONT/WATERFRONT/RIVERBANK",17,17220
460,4,"LIBRARY",7,17270
461,4,"LIVERY AUTO",1,17297
462,4,"MEDICAL/DENTAL OFFICE",47,17328
463,4,"MOVIE HOUSE/THEATER",3,17369
464,4,"NEWSSTAND",7,17408
465,4,"NURSING HOME/RETIREMENT HOME",145,17437
466,4,"OFFICE",1,17485
467,4,"OTHER",2724,17511
468,4,"OTHER COMMERCIAL TRANSPORTATION",30,17536
469,4,"OTHER RAILROAD PROP / TRAIN DEPOT",83,17587
470,4,"PARK PROPERTY",254,17640
471,4,"PARKING LOT",13,17673
472,4,"PARKING LOT/GARAGE(NON.RESID.)",2236,17704
473,4,"PAWN SHOP",8,17754
474,4,"POLICE FACILITY/VEH PARKING LOT",387,17783
475,4,"POOL ROOM",11,17834
476,4,"PORCH",4,17863
477,4,"RESIDENCE",17333,17888
478,4,"RESIDENCE PORCH/HALLWAY",1590,17917
479,4,"RESIDENCE-GARAGE",1939,17960
480,4,"RESIDENTIAL YARD (FRONT/BACK)",840,17996
481,4,"RESTAURANT",1945,18045
482,4,"RETAIL STORE",1,18075
483,4,"SAVINGS AND LOAN",4,18107
484,4,"SCHOOL, PRIVATE, BUILDING",61,18143
485,4,"SCHOOL, PRIVATE, GROUNDS",14,18188
486,4,"SCHOOL, PUBLIC, BUILDING",165,18232
487,4,"SCHOOL, PUBLIC, GROUNDS",45,18276
488,4,"SIDEWALK",8587,18319
489,4,"SMALL RETAIL STORE",1274,18347
490,4,"SPORTS ARENA/STADIUM",44,18385
491,4,"STREET",31081,18425
492,4,"TAVERN",3,18451
493,4,"TAVERN/LIQUOR STORE",463,18477
494,4,"TAXI CAB",1,18516
495,4,"TAXICAB",430,18544
496,4,"TRUCK",1,18571
497,4,"VACANT LOT",3,18596
498,4,"VACANT LOT/LAND",269,18626
499,4,"VEHICLE - DELIVERY TRUCK",1,18661
500,4,"VEHICLE - OTHER RIDE SERVICE",17,18705
501,4,"VEHICLE NON-COMMERCIAL",2476,18753
502,4,"VEHICLE-COMMERCIAL",113,18795
503,4,"WAREHOUSE",118,18833
504,4,"YARD",3,18862
505,5,"",24,18886
506,5,"ABANDONED BUILDING",81,18906
507,5,"AIRCRAFT",5,18944
508,5,"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",21,18972
509,5,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",9,19039
510,5,"AIRPORT EXTERIOR - NON-SECURE AREA",12,19102
511,5,"AIRPORT EXTERIOR - SECURE AREA",9,19156
512,5,"AIRPORT PARKING LOT",25,19206
513,5,"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",28,19245
514,5,"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",24,19311
515,5,"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA",1,19373
516,5,"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",18,19437
517,5,"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA",221,19503
518,5,"AIRPORT TRANSPORTATION SYSTEM (ATS)",1,19565
519,5,"AIRPORT VENDING ESTABLISHMENT",15,19620
520,5,"AIRPORT/AIRCRAFT",557,19669
521,5,"ALLEY",1667,19705
522,5,"ANIMAL HOSPITAL",6,19730
523,5,"APARTMENT",13055,19765
524,5,"APPLIANCE STORE",32,19794
525,5,"ATHLETIC CLUB",73,19829
526,5,"ATM (AUTOMATIC TELLER MACHINE)",134,19862
527,5,"AUTO",26,19912
528,5,"BANK",103,19936
529,5,"BAR OR TAVERN",309,19960
530,5,"BARBERSHOP",88,19993
531,5,"BOAT/WATERCRAFT",8,20023
532,5,"BOWLING ALLEY",1,20058
533,5,"BRIDGE",8,20091
534,5,"CAR WASH",26,20117
535,5,"CEMETARY",1,20145
536,5,"CHA APARTMENT",625,20173
537,5,"CHA GROUNDS",2,20206
538,5,"CHA HALLWAY",1,20237
539,5,"CHA HALLWAY/STAIRWELL/ELEVATOR",187,20268
540,5,"CHA PARKING LOT",3,20318
541,5,"CHA PARKING LOT/GROUNDS",341,20353
542,5,"CHA STAIRWELL",1,20396
543,5,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",138,20429
544,5,"CLEANING STORE",62,20482
545,5,"CLUB",1,20516
546,5,"COIN OPERATED MACHINE",19,20540
547,5,"COLLEGE/UNIVERSITY GROUNDS",27,20581
548,5,"COLLEGE/UNIVERSITY RESIDENCE HALL",19,20627
549,5,"COMMERCIAL / BUSINESS OFFICE",432,20680
550,5,"CONSTRUCTION SITE",181,20728
551,5,"CONVENIENCE STORE",182,20765
552,5,"CREDIT UNION",1,20802
553,5,"CTA BUS",135,20834
554,5,"CTA BUS STOP",128,20861
555,5,"CTA GARAGE / OTHER PROPERTY",201,20893
556,5,"CTA PLATFORM",445,20940
557,5,"CTA STATION",39,20972
558,5,"CTA TRACKS - RIGHT OF WAY",4,21003
559,5,"CTA TRAIN",550,21048
560,5,"CURRENCY EXCHANGE",58,21077
561,5,"DAY CARE CENTER",26,21114
562,5,"DELIVERY TRUCK",22,21149
563,5,"DEPARTMENT STORE",119,21183
564,5,"DRIVEWAY - RESIDENTIAL",384,21219
565,5,"DRUG STORE",178,21261
566,5,"FACTORY/MANUFACTURING BUILDING",137,21291
567,5,"FEDERAL BUILDING",5,21341
568,5,"FIRE STATION",10,21377
569,5,"FOREST PRESERVE",2,21409
570,5,"GANGWAY",1,21444
571,5,"GAS STATION",1138,21471
572,5,"GAS STATION DRIVE/PROP.",4,21502
573,5,"GOVERNMENT BUILDING/PROPERTY",106,21545
574,5,"GROCERY FOOD STORE",535,21593
575,5,"HALLWAY",4,21631
576,5,"HIGHWAY/EXPRESSWAY",16,21658
577,5,"HOSPITAL",1,21696
